edge_id,edge_signature,source,target,label,style,v2_primary_class,v2_secondary_tag,v2_polarity,execution_role,control_direction,constraint_strength,mandatory,is_executable,side_effect_scope,gate_family,loop_family,path_criticality,rationale,evidence
E001,P0->P01,P0,P01,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,主线顺序推进,flow_chart_original.dot:47
E002,P01->P02,P01,P02,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,主线顺序推进,flow_chart_original.dot:47
E003,P02->P05,P02,P05,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,主线顺序推进,flow_chart_original.dot:47
E004,P05->P1,P05,P1,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,主线顺序推进,flow_chart_original.dot:47
E005,P1->P15,P1,P15,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,主线顺序推进,flow_chart_original.dot:47
E006,P15->P2,P15,P2,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,主线顺序推进,flow_chart_original.dot:47
E007,P2->P3,P2,P3,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,主线顺序推进,flow_chart_original.dot:47
E008,P3->P4,P3,P4,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,主线顺序推进,flow_chart_original.dot:47
E009,P4->P45,P4,P45,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,主线顺序推进,flow_chart_original.dot:47
E010,P45->P5,P45,P5,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,主线顺序推进,flow_chart_original.dot:47
E011,P5->P55,P5,P55,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,主线顺序推进,flow_chart_original.dot:47
E012,P55->P58,P55,P58,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,主线顺序推进,flow_chart_original.dot:47
E013,P58->P6,P58,P6,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,主线顺序推进,flow_chart_original.dot:47
E014,P6->P65,P6,P65,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,主线顺序推进,flow_chart_original.dot:47
E015,P65->P7A,P65,P7A,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,主线顺序推进,flow_chart_original.dot:47
E016,P7A->P7B,P7A,P7B,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,主线顺序推进,flow_chart_original.dot:47
E017,P7B->P7C,P7B,P7C,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,主线顺序推进,flow_chart_original.dot:47
E018,P7C->P7D,P7C,P7D,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,主线顺序推进,flow_chart_original.dot:47
E019,P7D->P7E,P7D,P7E,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,主线顺序推进,flow_chart_original.dot:47
E020,P7E->P7F,P7E,P7F,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,主线顺序推进,flow_chart_original.dot:47
E021,P7F->P75,P7F,P75,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,主线顺序推进,flow_chart_original.dot:47
E022,P75->P8,P75,P8,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,主线顺序推进,flow_chart_original.dot:47
E023,P8->P9,P8,P9,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,主线顺序推进,flow_chart_original.dot:47
E024,P9->P91,P9,P91,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,主线顺序推进,flow_chart_original.dot:47
E025,P91->P95,P91,P95,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,主线顺序推进,flow_chart_original.dot:47
E026,P95->P10,P95,P10,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,主线顺序推进,flow_chart_original.dot:47
E027,P10->P11,P10,P11,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,主线顺序推进,flow_chart_original.dot:47
E028,TG->RR,TG,RR,No,solid,ExceptionTransitionObject,exception:block,negative,gate_block,halt_or_detour,hard,conditional,true,phase_or_global,time_or_quality,none,critical,时间门禁不达标，进入拒绝重跑,flow_chart_original.dot:55
E029,RR->TG,RR,TG,循环,solid,LoopTransitionObject,loop:rerun,neutral,iterative_control,backward_or_self,hard,conditional,true,phase,none,rerun_or_retry,high,拒绝后回到时间门禁循环,flow_chart_original.dot:56
